City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain,Snow
Bulawayo,ZW,2019-11-30 17:06:42,-20.16,28.59,80.87,15,7,9.24,0.0,0.0
New Norfolk,AU,2019-11-30 17:00:14,-42.78,147.06,50.0,53,90,9.17,0.0,0.0
Mataura,NZ,2019-11-30 17:00:21,-46.19,168.86,54.0,83,77,1.99,0.0,0.0
Mar Del Plata,AR,2019-11-30 17:00:27,-46.43,-67.52,60.87,30,56,13.58,0.0,0.0
Mount Pleasant,US,2019-11-30 17:06:43,33.16,-94.97,75.99,69,75,11.41,0.0,0.0
Namatanai,PG,2019-11-30 17:06:43,-3.66,152.44,82.98,70,70,6.6,0.0,0.0
Nyurba,RU,2019-11-30 17:06:43,63.29,118.35,-3.86,97,100,5.5,0.0,0.0
Liverpool,GB,2019-11-30 17:01:55,53.41,-2.98,39.0,93,0,11.41,0.0,0.0
Huarmey,PE,2019-11-30 17:06:44,-10.07,-78.15,80.73,43,12,11.72,0.0,0.0
Longyearbyen,NO,2019-11-30 17:00:15,78.22,15.63,12.2,43,100,28.86,0.0,0.0
Yumen,CN,2019-11-30 17:06:44,40.29,97.04,17.89,36,0,11.48,0.0,0.0
Vostok,RU,2019-11-30 17:00:17,46.45,135.83,11.93,81,100,3.83,0.0,0.0
Punta Arenas,CL,2019-11-30 17:00:00,-53.16,-70.91,55.4,43,20,21.92,0.0,0.0
Cape Town,ZA,2019-11-30 17:00:03,-33.93,18.42,69.8,49,33,12.75,0.0,0.0
Kapaa,US,2019-11-30 17:00:17,22.08,-159.32,77.0,73,75,24.16,0.0,0.0
Vaini,IN,2019-11-30 17:00:23,15.34,74.49,69.64,84,100,7.94,0.0,0.0
Nikolskoye,RU,2019-11-30 17:00:17,59.7,30.79,26.6,79,75,13.42,0.0,0.0
Ancud,CL,2019-11-30 17:06:46,-41.87,-73.83,55.4,66,75,9.17,0.0,0.0
Pringsewu,ID,2019-11-30 17:06:46,-5.36,104.98,72.54,98,0,2.28,0.0,0.0
Tucuman,PE,2019-11-30 17:06:47,-17.17,-70.89,72.7,20,65,15.95,0.0,0.0
Tasiilaq,GL,2019-11-30 17:00:33,65.61,-37.64,19.4,57,20,3.36,0.0,0.0
